[2026-01-25T00:48:29.354Z] #1 SESSION_START  Tracker started, poll interval: 2s [mem:2345MB, claude:14,mcp:2]
[2026-01-25T00:48:29.542Z] #2 SPAWN PID:184246 claude-code 392MB state=S  [mem:2345MB, claude:14,mcp:2]
[2026-01-25T00:48:29.650Z] #3 SPAWN PID:681436 unknown 831MB state=S  [mem:2345MB, claude:14,mcp:2]
[2026-01-25T00:48:29.801Z] #4 SPAWN PID:681515 mcp-server 67MB state=S parent=681436(claude) [mem:2345MB, claude:14,mcp:2]
[2026-01-25T00:48:29.981Z] #5 SPAWN PID:3064308 unknown 378MB state=T  [mem:2345MB, claude:14,mcp:2]
[2026-01-25T00:48:30.120Z] #6 SPAWN PID:3386854 worker-service 133MB state=S  [mem:2345MB, claude:14,mcp:2]
[2026-01-25T00:48:30.287Z] #7 SPAWN PID:3386885 mcp-server 67MB state=S parent=3386854(bun) [mem:2345MB, claude:14,mcp:2]
[2026-01-25T00:48:30.412Z] #8 SPAWN PID:3392243 chroma 75MB state=S  [mem:2345MB, claude:14,mcp:2]
[2026-01-25T00:48:30.543Z] #9 SPAWN PID:3392285 chroma 394MB state=S  [mem:2345MB, claude:14,mcp:2]
[2026-01-25T00:48:30.692Z] #10 ANOMALY  More MCP servers (2) than Claude instances (1) - possible orphans [mem:2345MB, claude:14,mcp:2]
[2026-01-25T00:48:33.146Z] #11 ANOMALY  More MCP servers (2) than Claude instances (1) - possible orphans [mem:2345MB, claude:14,mcp:2]
[2026-01-25T00:48:35.750Z] #12 ANOMALY  More MCP servers (2) than Claude instances (1) - possible orphans [mem:2353MB, claude:14,mcp:2]
[2026-01-25T00:48:38.380Z] #13 ANOMALY  More MCP servers (2) than Claude instances (1) - possible orphans [mem:2354MB, claude:14,mcp:2]
[2026-01-25T00:48:39.346Z] #14 SESSION_END  Tracker stopped by user [mem:2353MB, claude:14,mcp:2]
